Task ID,Task Title,Task Description 1,Task Description 2,Task CTA,Goods Task URL, Services Task URL,Task Output,Task Platform,Must Have Task,Task Difficulty,Task Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110,Access market guides,We have over 100 market guides to help you find the information you need on your target export market. Filter by sector to see the markets best suited to your product or service. ,"See the latest market data, sector-specific information and details of any trade agreements that are in place with that chosen market. Find details on how to do business, including tax rates and import regulations. ",Find your market,https://www.great.gov.uk/markets/,https://www.great.gov.uk/markets/,Guidance,great.gov.uk,no,Simple,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,Explore markets of interest,With our Where to Export service you can find trade data specific to the goods you're exporting and the markets you want to export to. ,"You will need to sign up to great.gov.uk to use this service. Once signed in, find your product using the product look up and choose the markets you'd like to research. You can then compare the markets side by side to see which is best suited to your business. ",Use this service,https://www.great.gov.uk/signup/?next=/where-to-export/,,Service,great.gov.uk,no,Simple,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10210,Assess the most suitable markets,"Use our market guides to assess which country could be most suitable for your products or service, or to find out how to take advantage of a new export opportunity. ","See the latest market data, sector-specific information and details of any trade agreements that are in place with that chosen market. Find details on how to do business, including tax rates and import regulations. ",Find your market,https://www.great.gov.uk/markets/,https://www.great.gov.uk/markets/,Guidance,great.gov.uk,no,Simple,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220,Understand market research ,"Researching potential overseas markets is the foundation of any export plan. From starting your research online to visiting the market, find out how best to approach this essential first step. ","Understanding the competition, local market conditions and customer demand will give you clear insights into the suitability of a market. You'll also need to know if there are any adaptations needed to your product or service for it to be successful. ",Read the guidance,https://www.great.gov.uk/learn/categories/market-research/,https://www.great.gov.uk/learn/categories/market-research/,Guidance,great.gov.uk,no,Simple,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10230,Understand cultural and language adaptations ,Adapting your product or service to suit the culture and tastes of local customers is sometimes necessary if you want to successfully launch in a new export market.,"Research your target market as thoroughly as possible. See what other companies offer and how they've adapted their products and look at what is produced locally.  And if possible, visit the market to get a real feel for what customers are looking for.",Read the guidance,https://www.great.gov.uk/learn/categories/market-research/research-countries-and-choose-destination-markets/understand-how-you-may-need-adapt-your-product-meet-international-standards/,https://www.great.gov.uk/learn/categories/market-research/research-countries-and-choose-destination-markets/understand-how-you-may-need-adapt-your-product-meet-international-standards/,Guidance,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10240,Plan a market visit ,"One of the best ways to know if a potential market is right for your business is to visit it in person. But to get the most out of your visit, you should have a solid plan in place. ","Preparation means more than general background research. You'll need a clear itinerary for your visit, with contacts lined up to speak to. Set up meetings with potential buyers and intermediaries before you go. And take time to find out everything you can about the competition. ",Read the guidance,https://www.great.gov.uk/learn/categories/market-research/market-research-approaches/market-research/,https://www.great.gov.uk/learn/categories/market-research/market-research-approaches/market-research/,Guidance,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10310,Identify opportunities in a selected market,Search our database of thousands of live sales leads and pitch your business to overseas buyers looking for products and services like yours.,"Enter your product or service and choose your target market or region. Apply through an expression of interest or get in contact with the buyer directly using the contact details, where provided.",Use this service,https://www.great.gov.uk/export-opportunities,https://www.great.gov.uk/export-opportunities,Service,great.gov.uk,no,Simple,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10320,Find networks and contacts in a market ,We cannot currently provide a list of potential contacts in your chosen export market. Contact your trade association or chamber of commerce for help on finding the right contacts for your business.,,,,,,,no,Simple,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10340,Understand how to develop overseas networks ,"Once you've successfully entered a new export market, you'll want to turn your attention to growing your market share.","Your growth strategy will vary depending on your product, service and the local market conditions. Research is key, and a good place to start is to talk to businesses already trading in the market to see how they have achieved their growth goals. ",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/,Guidance,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10350,Connect with international buyers,Use our service to create a business profile on great.gov.uk and connect with international buyers from across the globe.,"By registering your business, you'll give companies looking to buy from your industry an easy way to find you. You can highlight your company's projects and experience to give buyers insight into what you do and attract more business by connecting with the right international buyers.",Use this service,https://www.great.gov.uk/find-a-buyer/,https://www.great.gov.uk/find-a-buyer/,Service,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
